,Date,Rank,Gross,% Change,Theaters,Per Theater,Total Gross,Week,movie
0,"May 7, 2010",1,"$128,122,480",,4380,"$29,252","$128,122,480",1,Iron-Man-2
1,"May 14, 2010",1,"$52,041,005",-59%,4390,"$11,854","$211,200,876",2,Iron-Man-2
2,"May 21, 2010",2,"$26,361,258",-49%,4177,"$6,311","$251,026,061",3,Iron-Man-2
3,"May 28, 2010",4,"$16,458,990",-38%,3804,"$4,327","$275,035,900",4,Iron-Man-2
4,"Jun 4, 2010",7,"$7,918,708",-52%,3007,"$2,633","$291,429,870",5,Iron-Man-2
5,"Jun 11, 2010",9,"$4,521,206",-43%,2305,"$1,961","$299,282,390",6,Iron-Man-2
6,"Jun 18, 2010",9,"$2,872,252",-36%,1612,"$1,782","$304,210,329",7,Iron-Man-2
7,"Jun 25, 2010",11,"$1,436,378",-50%,1169,"$1,229","$306,943,647",8,Iron-Man-2
8,"Jul 2, 2010",13,"$638,314",-56%,522,"$1,223","$308,292,777",9,Iron-Man-2
9,"Jul 9, 2010",18,"$392,755",-38%,333,"$1,179","$309,237,294",10,Iron-Man-2
10,"Jul 16, 2010",14,"$561,740",+43%,362,"$1,552","$310,018,590",11,Iron-Man-2
11,"Jul 23, 2010",16,"$438,975",-22%,330,"$1,330","$310,840,824",12,Iron-Man-2
12,"Jul 30, 2010",21,"$301,277",-31%,286,"$1,053","$311,417,007",13,Iron-Man-2
13,"Aug 6, 2010",27,"$193,515",-36%,224,$864,"$311,806,181",14,Iron-Man-2
14,"Aug 13, 2010",31,"$126,878",-34%,178,$713,"$312,057,433",15,Iron-Man-2
0,"Apr 4, 2014",1,"$95,023,721",,3938,"$24,130","$95,023,721",1,Captain-America-The-Winter-Soldier
1,"Apr 11, 2014",1,"$41,274,861",-57%,3938,"$10,481","$158,883,032",2,Captain-America-The-Winter-Soldier
2,"Apr 18, 2014",1,"$25,587,056",-38%,3825,"$6,689","$200,501,510",3,Captain-America-The-Winter-Soldier
3,"Apr 25, 2014",2,"$16,219,025",-37%,3620,"$4,480","$225,059,241",4,Captain-America-The-Winter-Soldier
4,"May 2, 2014",4,"$7,774,269",-52%,3179,"$2,446","$237,155,480",5,Captain-America-The-Winter-Soldier
5,"May 9, 2014",5,"$5,737,840",-26%,2701,"$2,124","$245,115,585",6,Captain-America-The-Winter-Soldier
6,"May 16, 2014",8,"$3,664,058",-36%,2271,"$1,613","$250,532,304",7,Captain-America-The-Winter-Soldier
7,"May 23, 2014",11,"$1,744,727",-52%,1373,"$1,271","$253,585,725",8,Captain-America-The-Winter-Soldier
8,"May 30, 2014",14,"$627,266",-64%,539,"$1,164","$255,176,550",9,Captain-America-The-Winter-Soldier
9,"Jun 6, 2014",15,"$416,892",-34%,317,"$1,315","$255,863,996",10,Captain-America-The-Winter-Soldier
10,"Jun 13, 2014",20,"$274,842",-34%,223,"$1,232","$256,334,467",11,Captain-America-The-Winter-Soldier
11,"Jun 20, 2014",25,"$196,797",-28%,184,"$1,070","$256,690,279",12,Captain-America-The-Winter-Soldier
12,"Jun 27, 2014",18,"$403,920",+105%,281,"$1,437","$257,225,897",13,Captain-America-The-Winter-Soldier
13,"Jul 4, 2014",23,"$332,370",-18%,251,"$1,324","$257,842,261",14,Captain-America-The-Winter-Soldier
14,"Jul 11, 2014",27,"$213,468",-36%,215,$993,"$258,258,222",15,Captain-America-The-Winter-Soldier
15,"Jul 18, 2014",29,"$181,371",-15%,191,$950,"$258,591,352",16,Captain-America-The-Winter-Soldier
16,"Jul 25, 2014",37,"$136,115",-25%,163,$835,"$258,848,387",17,Captain-America-The-Winter-Soldier
17,"Aug 1, 2014",25,"$398,956",+193%,181,"$2,204","$259,322,890",18,Captain-America-The-Winter-Soldier
18,"Aug 8, 2014",35,"$111,144",-72%,105,"$1,059","$259,657,011",19,Captain-America-The-Winter-Soldier
19,"Aug 15, 2014",50,"$35,058",-68%,65,$539,"$259,746,958",20,Captain-America-The-Winter-Soldier
0,"Nov 4, 2016",1,"$85,058,311",,3882,"$21,911","$85,058,311",1,Doctor-Strange-(2016)
1,"Nov 11, 2016",1,"$42,970,065",-49%,3882,"$11,069","$152,952,234",2,Doctor-Strange-(2016)
2,"Nov 18, 2016",2,"$17,761,060",-59%,3694,"$4,808","$181,627,937",3,Doctor-Strange-(2016)
3,"Nov 25, 2016",3,"$13,737,945",-23%,3008,"$4,567","$205,778,872",4,Doctor-Strange-(2016)
4,"Dec 2, 2016",5,"$6,684,552",-51%,2935,"$2,278","$215,507,729",5,Doctor-Strange-(2016)
5,"Dec 9, 2016",5,"$4,535,827",-32%,2763,"$1,642","$222,267,273",6,Doctor-Strange-(2016)
6,"Dec 16, 2016",9,"$2,210,912",-51%,1930,"$1,146","$226,260,939",7,Doctor-Strange-(2016)
