,Date,Rank,Gross,% Change,Theaters,Per Theater,Total Gross,Week,movie
0,"Nov 8, 2013",1,"$85,737,841",,3841,"$22,322","$85,737,841",1,Thor-The-Dark-World
1,"Nov 15, 2013",1,"$36,586,016",-57%,3841,"$9,525","$145,097,130",2,Thor-The-Dark-World
2,"Nov 22, 2013",2,"$14,196,302",-61%,3713,"$3,823","$167,917,123",3,Thor-The-Dark-World
3,"Nov 29, 2013",3,"$11,085,296",-22%,3286,"$3,373","$186,705,086",4,Thor-The-Dark-World
4,"Dec 6, 2013",4,"$4,811,545",-57%,3074,"$1,565","$193,711,187",5,Thor-The-Dark-World
5,"Dec 13, 2013",5,"$2,820,055",-41%,2264,"$1,246","$198,245,744",6,Thor-The-Dark-World
6,"Dec 20, 2013",9,"$1,341,763",-52%,1116,"$1,202","$200,779,871",7,Thor-The-Dark-World
7,"Dec 27, 2013",19,"$636,073",-53%,319,"$1,994","$202,363,610",8,Thor-The-Dark-World
8,"Jan 3, 2014",22,"$476,507",-25%,291,"$1,637","$203,449,204",9,Thor-The-Dark-World
9,"Jan 10, 2014",24,"$314,894",-34%,257,"$1,225","$203,934,480",10,Thor-The-Dark-World
10,"Jan 17, 2014",28,"$244,774",-22%,185,"$1,323","$204,286,536",11,Thor-The-Dark-World
11,"Jan 31, 2014",40,"$105,227",,121,$870,"$204,674,790",13,Thor-The-Dark-World
12,"Mar 14, 2014",45,"$50,751",,100,$508,"$206,246,287",19,Thor-The-Dark-World
13,"Mar 21, 2014",56,"$24,449",-52%,59,$414,"$206,287,713",20,Thor-The-Dark-World
14,"Apr 4, 2014",60,"$22,933",,35,$655,"$206,344,131",22,Thor-The-Dark-World
15,"Apr 11, 2014",67,"$10,322",-55%,16,$645,"$206,360,018",23,Thor-The-Dark-World
